ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
90,Laura had 3 apples in a basket. She dropped the basket and 2 apples were bruised. What fraction of the apples were bruised?,B, 1/3 , 2/3 , 3/2 , 2/1 ,Chooses 1 unbroken egg out of 3 total eggs.,2 broken eggs/3 total eggs,Chooses the reciprocal of correct fraction.,Chooses the proportion of 2 broken out of 1 unbroken egg.
91,What mathematical equation can be used to solve this problem: 42 ÷ □ = 7?,D,"Tony has $42, and then he spends $7. How much money does Tony have now?","Tony has 42 stamps, and then his sister gives him 7 stamps. How many stamps does Tony have now?",Tony buys 7 bags of beans with 42 beans in each bag. How many beans does Tony have altogether?,Tony walks a neighbor’s dog for 7 days and earns $42. How much money does Tony earn each day?,42 -7 = 35,42 + 7 = 49,42 * 7 = 294,42/7 = 6
92,What mathematical equation can be used to solve this problem: 36 ÷ 9 = □?,A,Lana uses 36 pins to hang 9 posters. How many pins does she use to hang each poster?,Mr. Harvin grades 36 tests. He spends 9 minutes grading each test. How many minutes does it take him to grade all the tests?,Robert spends $9 to buy 36 erasers. How much does each eraser cost?,Ms. Blackthorn orders 36 boxes of mugs for her store. Each box has 9 mugs. How many mugs does Ms. Blackthorn order for her store?,36 / 9= 4,Solution would be 36 * 9 = 324.,Solution would be 9 / 36 = 0.25.,Solution would be 36 * 9 = 324.
93,Emily purchases 4 romance novels and 4 mystery novels from the bookstore. Each book is priced the same. Emily pays a total of $24. 4 × 2 × p = 24. What does p represent in the equation?,B,The change George receives when he pays for each car,The cost of each car George buys,The total amount George spends on the cars,The total number of cars George buys,No change is left over in context.,"Determined the variable ""c"" in the equation represents the cost of each car George buys. (4 x 2 x the cost of each car = 24).",Chose the given of $24.,Chose the given as 2 * 4 = 8.
94,"Jerry baked 42 cookies over a period of 6 days. He baked the same amount of cookies each day. Which equation can be used to find c, the number of cookies Jerry baked each day?",A, b = 42 ÷ 6 , b = 42 − 6 , b ÷ 6 = 42 , b + 6 = 42 ,42 /6 = 7,Used 42 total books - 6 weeks = 36,Solution would be 42 books read each week.,Used 36 + 6 weeks = 42 total books
95,"A music festival has 96 artists performing on multiple stages. If each stage features 12 artists, what equation can be used to find out the total number of stages?",C, _ − 12 = 96 , _ ÷ 96 = 12 , 12 × _ = 96 , 96 − _ = 12 ,Calculated 108 -12 players per team = 96 total.,Calculated 1152/ 96 total = 12 players per team.,12 players per team * 8 teams = 96 total,Calculated 96 total - 84 = 12 players per team.
96,A chef intends to bake 5 cakes each day for a period of 9 days. Which equation would not be accurate to calculate the total number of cakes baked?,D, □ = 9 × 5 , □ ÷ 5 = 9 , 5 × 9 = □ , 9 ÷ □ = 5 ,Chooses a true equation. 45 total = 9 weeks * 5 books/week,Chooses a true equation. 45 total/5 books per week = 9 weeks,Chooses a true equation. 5 books per week * 9 weeks = 45 total,9 weeks /(5/9) = 5 books per week
97,Consider the following equation. 9 × 6 = 54 ÷ _. What value makes the equation holds correct?,B,0,1,6,9,Uses 54 + 0 = 54.,9*6 = 54; 54/1 = 54,Uses 9 * 6 = 54; 54/6 = 9.,Uses 9 * 6 = 54; 54/9 = 6.
98,A child has a rope to measure the distance around a basketball. Which other tool does the child need to measure the distance around the basketball?,B,A pencil,A meter stick,A scale,A thermometer,Does not measure length.,Measures length.,"Measures weight, not length.","Measures weight, not length."
99,Which tool should be used to measure the perimeter of a soccer field?,A,A meter stick,A scale,A thermometer,A watch,Measures length.,"Measures weight, not length.","Measures temperature, not length.","Measures time, not length."
100,Max consumes chocolates in groups of 7. Which skip-counting sequence shows how many chocolates Max eats in 8 groups?,D, 1  8  15  22  29  36  43  50 , 8  16  24  32  40  48  56  64 , 7  15  23  31  39  47  55  63 , 7  14  21  28  35  42  49  56 ,Starts with 1 and skips by 7.,Counts by 8.,Pattern starts with 7 and adds 8.,Pattern is add 7.
101,"Thompson has a collection of plants. There are fewer cacti than succulents, and 1/4 of the plants are cacti. What could be the fraction of succulents?",A, 1/2 , 1/4 , 1/6 , 1/8 ,1/2 > 1/4,Chooses equal fractions.,Chooses fewer rather than greater number of daises. 1/6 < 1/4,Chooses fewer rather than greater number of daises. 1/8 < 1/4
102,"In a toy shop, each employee has different sets of toy blocks. Toy Blocks: Jack - 4 Square Blocks - 4 Triangle Blocks, Tony - 1 Square Block - 7 Triangle Blocks, Lucy - 5 Square Blocks - 3 Triangle Blocks, Susan - 2 Square Blocks - 6 Triangle Blocks. What fraction of Tony's blocks are square?",D, 1/2 , 1/4 , 1/7 , 1/8 ,Chooses 1 out of 2 shapes.,Chooses 1 out of 4 names.,Chooses 1 square/ 7 triangles.,1 square/ 8 total shapes
103,An equation is given. 9 × 7 = 63. Which expression represents this equation in a different form?,A, 9 + 9 + 9 + 9 + 9 + 9 + 9 = _ , 7 + 7 + 7 + 7 + 7 + 7 + 7 = _ , 9 + 9 + 9 + 9 + 9 + 9 + 9 + 9 + 9 = _ , 7 × 7 × 7 × 7 × 7 × 7 × 7 × 7 × 7 = _ ,9 added 7 times = 63,7 added 7 times = 49,9 added 9 times = 81,7 multiplied by itself 9 times = 7^9
104,"Mia uses syrup to prepare her pancakes. Syrup for Pancakes (Amount of syrup in cups): Raisin - 4/4, Coconut - 1/4, Chocolate - 2/4, Ginger - 3/4. Which pancake topping uses the greatest amount of syrup?",A,Raisin,Coconut,Chocolate,Ginger,4/4 = 1,Chooses 1/4 < 4/4,Chooses 2/4 < 4/4,Chooses 3/4 < 4/4
105,A sequence is shown. 88  79  70  61  _  _. What is the number for the sixth spot in this sequence?,B,39,43,52,59,Subtracts 11; 61 - 11 = 50; 50 -11 = 39,61 - 9 = 52; 52 - 9 = 43,Chooses the 5th number in the pattern.,"Decreases by 1; 61, 60, 59"
106,Multiply (13 × 6) × 6.,D,78,114,156,468,Does not include the second six. 13 * 6 = 78,Adds instead of multiplies. (13 + 6) * 6 = 19 * 6 = 114,Adds instead of multiplies. 13 * (6 + 6) = 13 * 12 = 156,13 * 6 * 6 = 468
107,Multiply 987 × 6.,C,993,"5,482","5,922","544,842",Adds instead of multiplies. 987 + 6 = 993,Does not carry at all.,987 * 6 = 5922,"Does not carry correctly. 90807 * 6 = 544,842"
108,Multiply 88 × 5.,B,93,440,600,"4,040",Adds rather than multiplies. 88 + 5 = 93,88 * 5 = 440,Regrouped incorrectly.,Regrouped incorrectly. 808 * 5 = 4040
109,"Consider the following two equations. 27 = 9 _ 3, 12 = 2 _ 6. Which symbol makes both these equations true?",C, + , − , × , ÷ ,Chose an incorrect operation.,Chose an incorrect operation.,Determined 27 = 9 x 3 and 12 = 2 x 6. Multiplication (x symbol) made both equations true.,Chose an incorrect operation.
110,Lucy needs to run 500 minutes each month. Shee has run 355 minutes so far this month. How much more running does Lucy need to do to complete the 500 minutes?,B,1 hour 45 minutes,2 hours 25 minutes,2 hours 55 minutes,5 hours 55 minutes,Uses 1 hr = 100 min; 145 min. = 1 hr 45 min.,500 - 355 = 145; 145 min. = 2 hr 25 min.,Uses 500 min. = 5 hr and 355 min. = 3 hr 55 min.; thinks 2 hr 55 min equals 5 hr - 3 hr 55 min.,Calculates the amount of time running; 355 = 6 hr 55 min.
111,"Last week, Sarah painted for 55 minutes each day for 4 days. How much time did Sarah spend painting last week?",B,2 hours 20 minutes,3 hours 40 minutes,4 hours 55 minutes,5 hours 54 minutes,Uses 100 minutes = 1 hour.,4 * 55 = 220; 220 min. = 3 hr 40 min.,"Uses numbers given. (4, 55)",Put numbers given together (554) then allots 100 minutes per hr.
112,Taylor read for 30 minutes each day for 28 days. How many hours did they read in total over the 28 days?,B,2 hours,14 hours,58 hours,84 hours,Uses values given. 30 - 28 = 2,30 min. = 0.5 hr; 0.5 * 28 = 14,Adds values given. 30 + 28 = 58,Uses 10 minutes = 1 hour; 30/10 = 3; 3* 28 = 84.
113,Lisa baked 36 cookies. She wants to divide them evenly into 4 different gift boxes. Which equation would help Lisa figure out how many cookies she should put in each box?,D, 36 + 4 = 40 , 36 − 4 = 32 , 36 × 4 = 144 , 36 ÷ 4 = 9 ,Used the sum of 36 total blocks and 4 patterns.,Used the difference of 36 total blocks and 4 patterns.,"Used the product of 36 total blocks and 4 patterns, not 36 blocks per pattern.",36 total blocks/4 patterns = 9 blocks per pattern
114,Consider this mathematical equation. 4 × 5 = _ + 12. Which number makes this equation correct?,B,6,8,20,21,Calculates 4 * 5 = 20; then calculates 6 + 12 = 20.,4 * 5 = 20; 20 - 12 = 8,Only uses 4 * 5 = 20.,Uses addition rather than multiplication of the left side. 4 + 5 = 9; 21 - 12 = 9
115,Jake created an equation. 4 × _ = 32. What number makes the equation correct?,C,6,7,8,9,Used 32/4 = 6.,Used 32/4 = 7.,correct. 4 * 8 = 32,Used 32/4 = 9.
116,Ms. Green wrote a mathematical formula. 3 + _ = 12 ÷ 4. What value makes the formula correct?,A,0,1,5,9,12/4 = 3; 3 + 0 = 3,Calculates 12/4 = 3; 3 * 1 = 3 or 3/1 = 3,Calculates 12 - 4 = 8; 3 + 5 = 8,Considers 3 + 9 = 12. 
117,Tom collects 72 shells. He places 9 shells in each container. How many containers does he use?,A,8,9,63,81,72/9 = 8,Selects shells per container.  9 apples ,Selects 72 total shells - 9 shells per container = 63,Selects 72 total shells + 9 shells per container = 81
118,"In a bakery, the same number of doughnuts is placed in each box. The order requires 8 boxes. Doughnut Boxes: 2 Boxes - 18 Doughnuts, 4 Boxes - 36 Doughnuts, 5 Boxes - 45 Doughnuts. How many doughnuts will the bakery need to fulfill this order?",B,54,72,90,99,Decomposed the number without regard to place value., Correct. Determine the rule to be the Number of Pages (input) multiplied by 9 equals the Total Number of Cards (output). Then multiplied 8 pages by 9 to find a total of 72 cards in eight pages.,"Used 6,000 instead of 600",Chose option with most digits in place from the original number.
119,"A bakery tracks the number of cookies its bakers decorate. Cookies Decorated: 3 Cakes - 21 Cookies, 5 Cakes - 35 Cookies, 9 Cakes - 63 Cookies. What rule can be used to find the number of cookies for any number of cakes?",D,Add 14 to the number of buttons.,Add 18 to the number of shirts.,Multiply the number of buttons by 7.,Multiply the number of shirts by 7.,Chose a rule that worked for 21 and 35.,Chose a rule that worked for the first pair of input-output numbers.,Reversed the Number of Shirts and the Number of Buttons when describing the rule.,Determined the rule to the Number of Shirts (input) times 7 equals the Number of Buttons (output).
120,Consider the equation shown. 7 × □ = 90 − 27. What number for □ makes the equation correct?,A,9,56,70,441,90 - 27 = 63 and 7 x 9 = 63,"Subtracted 27 from 90 to get 63, then subtracted 7 from 63 rather than dividing.","Subtracted 27 from 90 to get 63, then added 7 to 63 rather than dividing.","Subtracted 27 from 90 to get 63, and then multiplied 7 by 63 rather than dividing."
121,What is the number of □ to satisfy the equation □ × 8 = 8 ÷ □?,B,0,1,4,8,Chose a value that creates an untrue equation.,1 x 8 = 8 and 8 x 1 = 8,Chose a value that creates an untrue equation.,Chose a value that creates an untrue equation.
122,What tool should Jonah use to measure the distance around his wrist?,C,Clock,Scale,Tape measure,Thermometer,Chose a tool for measuring time.,Chose a tool for measuring weight.,Chose at tool that can be manipulated to go around a circular object.,Chose a tool for measuring temperature.
123,There are 300 books in a library. Each book needs 2 bookmarks. The librarian currently has 150 bookmarks. Which question is solved to find out with the equation 300 × 2 = m + 150?,A,How many more muffins does Liza need?,How many muffins does Liza have?,How many people are coming to the picnic?,How many total muffins does Liza need?,"Determined the variable ""m"" in the equation represents how many more muffins Liza needs. (300 x 2 =  the number of muffins needed +  150).",Used the 150 muffins given. ,Used the 300 people given. ,Reversed the amount needed with amount in all.
124,"Two mathematical formulas are provided. 12 □ 4 = 48, 24 ÷ 4 = 3 □ 2. What symbol makes both mathematical formulas correct?",C, + , − , × , ÷ ,Chose an incorrect operation.,Chose an incorrect operation.,Determined 12 x 4 = 48 and 24 ÷ 4 = 3 x 2. Multiplication (x symbol) made both equations true.,Chose an incorrect operation.
125,"Emily had $2,052 in her savings account. She deposited $100 more. Then she withdrew $200. How much does she have left in her account now?",B,"$1,752 ","$1,952 ","$2,152 ","$2,352 ",Calculates 2052 - 100 - 200 = 1752.,2052 + 100 - 200 = 1952,Calculates 2052 - 100 + 200 = 2152.,Calculates 2052 + 100 + 200 = 2352.
126,Alex earned $64 selling lemonade. He charged $4 for each cup of lemonade. How many cups of lemonade did Alex sell?,C,11,13,16,19,Used 60/40 = 1 and 4/4 = 1.,Used 60/40 = 1 and 14/4 = 3.,64 / 4 = 16,Calculated 19 equals 64/4.
127,Ms. Johnson planted 45 flowers in her garden. She planted the same number of flowers in each row. There are 5 rows in her garden. How many flowers did Ms. Johnson plant in each row?,A,9,40,50,225,45/5 = 9,Chooses subtraction. 45 - 5 = 40,Chooses addition. 45 + 5 = 50,Chooses division. 45 * 5 = 225
128,Multiply 50 × 20. ,C,100,700,"1,000","2,500",Multiplies 20 * 5 = 100.,Multiplies 20* 10 + 50 * 10 = 700.,20 * 50 = 1000,Multiplies 50 * 50 = 2500.
129,Multiply 70 × 6.,B,130,420,760,"4,200",Calculates (7 + 6) * 10 = 130.,70 * 6 = 420,Calculates 700 + 60 = 760.,Calculates 70 * 60 = 4200.
130,Multiply 40 × 90.,C,360,"1,300","3,600","4,900",Calculates 4 * 90 = 360.,Calculates (4 + 9)* 10 * 10 = 1300.,40 * 90 = 3600,Calculates (40 +9)* 10 *10 = 4900.
131,"In a park, there are 6 bird feeders. Each feeder is filled with 1 bag of seeds. Each bag contains 9 seeds. How many total seeds are there in all the bird feeders?",B,45,54,56,72,Subtracts 1 cracker from number of people. 9 * 5 = 45,9 * 6 = 54,Subtracts 1 cracker from number of lunches and adds 1 to number of people. 8 * 7 = 56,Choose eight instead of six. 9 *8 = 72
132,"In a bakery, there are 3 trays of muffins. Each tray holds 8 muffins. How many total muffins are there in the bakery?",C,8,11,24,27,Calculates plants in one row. ,Adds. 8 + 3 = 11,8 * 3 = 24,Includes an additional plant. 9 * 3 = 27
133,A mathematical statement is provided. 54 ÷ _ = 6. What method can be use to identify the number that makes this equation correct?,B, 54 + 6 = _ , 6 × _ = 54 , 54 × _ = 6 , 54 − 6 = _ ,Chose addition.,6 * 9 = 54,Chose division.,Chose subtraction.
134,Multiply 70 × 60.,B,420,"4,200","42,000","420,000",Calculates 60 * 7 = 420.,"60* 70 = 4,200","Calculates 600 * 70 = 42,000.","Calculates 600*700 = 420,000."
135,Multiply 90 × 200.,C,180,"1,800","18,000","180,000",Calculates 90 *2 = 180.,Calculates 90 * 20 = 1800.,"90 * 200 = 18,000","Calculates 900*200=180,000."
136,Multiply 68 × 12.,D,80,204,682,816,Calculates 68 + 12 = 80.,Calculates 68 * (1 + 2) = 204.,Calculates 68* 10 + 2 = 682.,68 * 12 = 816
137,A publisher is creating a book with 20 sections. Each section contains 100 pages. How many pages are there in the entire book?,B,200,"2,000","20,000","20,100",Calculates 20 * 10 = 200.,20 * 100 = 2000,"Calculates 20 * 1000 = 20,000.","Combined digits to form a number. 20 and 100 = 20,100"
138,A mathematical equation is provided. 4 × 20 = _ × 10. What is the missing number in this equation?,B,2,8,14,80,Calculated 20 = 2 * 10,4 * 20 = 80;  80/10 = 8,Calculated 4 + 20 = 24;  24 - 10 = 14,Calculated 4 * 20 = 80
139,A mathematical equation is provided. 7 _ 5 = 12 + 23. What is the missing symbol to make the equation true?,C, + , − , × , ÷ ,Calculated 12 + 23 = 35;  7 + 5 = 12,Calculated 12 + 23 = 35;  7 - 5 = 2,12 + 23 = 35;  7 x 5 = 35,Calculated 12 + 23 = 35;  7 ÷ 5 = 1.4
140,Mark observes 8 butterflies in his garden. 3 of the butterflies have orange wings. 3 of the butterflies have blue wings. 2 of the butterflies have green wings. What fraction of the butterflies have green wings?,A, 1/4 , 1/3 , 3/8 , 2/3 ,2 out of 8 birds have green beaks.,Used ratio of birds with green beaks to other birds. 2/6,Used fraction of birds with orange or blue beaks.,Used ratio of birds with green beaks to birds with blue beaks or orange beaks.
